Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,SeasonKey,Weight
12/12/16,Villarreal,Ath Madrid,3,0,H,2016-17,16,0.6
16/12/16,Alaves,Betis,1,0,H,2016-17,16,0.6
17/12/16,Ath Madrid,Las Palmas,1,0,H,2016-17,16,0.6
17/12/16,Granada,Sociedad,0,2,A,2016-17,16,0.6
17/12/16,Sevilla,Malaga,4,1,H,2016-17,16,0.6
17/12/16,Sp Gijon,Villarreal,1,3,A,2016-17,16,0.6
18/12/16,Barcelona,Espanol,4,1,H,2016-17,16,0.6
18/12/16,La Coruna,Osasuna,2,0,H,2016-17,16,0.6
18/12/16,Leganes,Eibar,1,1,D,2016-17,16,0.6
19/12/16,Ath Bilbao,Celta,2,1,H,2016-17,16,0.6
06/01/17,Espanol,La Coruna,1,1,D,2016-17,16,0.6
07/01/17,Eibar,Ath Madrid,0,2,A,2016-17,16,0.6
07/01/17,Las Palmas,Sp Gijon,1,0,H,2016-17,16,0.6
07/01/17,Real Madrid,Granada,5,0,H,2016-17,16,0.6
07/01/17,Sociedad,Sevilla,0,4,A,2016-17,16,0.6
08/01/17,Ath Bilbao,Alaves,0,0,D,2016-17,16,0.6
08/01/17,Betis,Leganes,2,0,H,2016-17,16,0.6
08/01/17,Celta,Malaga,3,1,H,2016-17,16,0.6
08/01/17,Villarreal,Barcelona,1,1,D,2016-17,16,0.6
09/01/17,Osasuna,Valencia,3,3,D,2016-17,16,0.6
14/01/17,Ath Madrid,Betis,1,0,H,2016-17,16,0.6
14/01/17,Barcelona,Las Palmas,5,0,H,2016-17,16,0.6
14/01/17,La Coruna,Villarreal,0,0,D,2016-17,16,0.6
14/01/17,Leganes,Ath Bilbao,0,0,D,2016-17,16,0.6
15/01/17,Celta,Alaves,1,0,H,2016-17,16,0.6
15/01/17,Granada,Osasuna,1,1,D,2016-17,16,0.6
15/01/17,Sevilla,Real Madrid,2,1,H,2016-17,16,0.6
15/01/17,Sp Gijon,Eibar,2,3,A,2016-17,16,0.6
15/01/17,Valencia,Espanol,2,1,H,2016-17,16,0.6
16/01/17,Malaga,Sociedad,0,2,A,2016-17,16,0.6
20/01/17,Las Palmas,La Coruna,1,1,D,2016-17,16,0.6
21/01/17,Alaves,Leganes,2,2,D,2016-17,16,0.6
21/01/17,Espanol,Granada,3,1,H,2016-17,16,0.6
21/01/17,Real Madrid,Malaga,2,1,H,2016-17,16,0.6
21/01/17,Villarreal,Valencia,0,2,A,2016-17,16,0.6
22/01/17,Ath Bilbao,Ath Madrid,2,2,D,2016-17,16,0.6
22/01/17,Betis,Sp Gijon,0,0,D,2016-17,16,0.6
22/01/17,Eibar,Barcelona,0,4,A,2016-17,16,0.6
22/01/17,Osasuna,Sevilla,3,4,A,2016-17,16,0.6
22/01/17,Sociedad,Celta,1,0,H,2016-17,16,0.6
27/01/17,Osasuna,Malaga,1,1,D,2016-17,16,0.6
28/01/17,Alaves,Ath Madrid,0,0,D,2016-17,16,0.6
28/01/17,Eibar,La Coruna,3,1,H,2016-17,16,0.6
28/01/17,Leganes,Celta,0,2,A,2016-17,16,0.6
28/01/17,Villarreal,Granada,2,0,H,2016-17,16,0.6
29/01/17,Ath Bilbao,Sp Gijon,2,1,H,2016-17,16,0.6
29/01/17,Betis,Barcelona,1,1,D,2016-17,16,0.6
29/01/17,Espanol,Sevilla,3,1,H,2016-17,16,0.6
29/01/17,Real Madrid,Sociedad,3,0,H,2016-17,16,0.6
30/01/17,Las Palmas,Valencia,3,1,H,2016-17,16,0.6
04/02/17,Ath Madrid,Leganes,2,0,H,2016-17,16,0.6
04/02/17,Barcelona,Ath Bilbao,3,0,H,2016-17,16,0.6
04/02/17,Malaga,Espanol,0,1,A,2016-17,16,0.6
04/02/17,Valencia,Eibar,0,4,A,2016-17,16,0.6
05/02/17,Sevilla,Villarreal,0,0,D,2016-17,16,0.6
05/02/17,Sociedad,Osasuna,3,2,H,2016-17,16,0.6
05/02/17,Sp Gijon,Alaves,2,4,A,2016-17,16,0.6
06/02/17,Granada,Las Palmas,1,0,H,2016-17,16,0.6
10/02/17,Espanol,Sociedad,1,2,A,2016-17,16,0.6
11/02/17,Alaves,Barcelona,0,6,A,2016-17,16,0.6
11/02/17,Ath Bilbao,La Coruna,2,1,H,2016-17,16,0.6
11/02/17,Betis,Valencia,0,0,D,2016-17,16,0.6
11/02/17,Osasuna,Real Madrid,1,3,A,2016-17,16,0.6
12/02/17,Ath Madrid,Celta,3,2,H,2016-17,16,0.6
12/02/17,Las Palmas,Sevilla,0,1,A,2016-17,16,0.6
12/02/17,Leganes,Sp Gijon,0,2,A,2016-17,16,0.6
12/02/17,Villarreal,Malaga,1,1,D,2016-17,16,0.6
13/02/17,Eibar,Granada,4,0,H,2016-17,16,0.6
17/02/17,Granada,Betis,4,1,H,2016-17,16,0.6
18/02/17,La Coruna,Alaves,0,1,A,2016-17,16,0.6
18/02/17,Real Madrid,Espanol,2,0,H,2016-17,16,0.6
18/02/17,Sevilla,Eibar,2,0,H,2016-17,16,0.6
18/02/17,Sp Gijon,Ath Madrid,1,4,A,2016-17,16,0.6
19/02/17,Barcelona,Leganes,2,1,H,2016-17,16,0.6
19/02/17,Celta,Osasuna,3,0,H,2016-17,16,0.6
19/02/17,Sociedad,Villarreal,0,1,A,2016-17,16,0.6
19/02/17,Valencia,Ath Bilbao,2,0,H,2016-17,16,0.6
20/02/17,Malaga,Las Palmas,2,1,H,2016-17,16,0.6
22/02/17,Valencia,Real Madrid,2,1,H,2016-17,16,0.6
24/02/17,Las Palmas,Sociedad,0,1,A,2016-17,16,0.6
