Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,SeasonKey,Weight
01/10/16,Pescara,Chievo,0,2,A,2016-17,16,0.6
01/10/16,Udinese,Lazio,0,3,A,2016-17,16,0.6
02/10/16,Atalanta,Napoli,1,0,H,2016-17,16,0.6
02/10/16,Bologna,Genoa,0,1,A,2016-17,16,0.6
02/10/16,Cagliari,Crotone,2,1,H,2016-17,16,0.6
02/10/16,Empoli,Juventus,0,3,A,2016-17,16,0.6
02/10/16,Milan,Sassuolo,4,3,H,2016-17,16,0.6
02/10/16,Roma,Inter,2,1,H,2016-17,16,0.6
02/10/16,Sampdoria,Palermo,1,1,D,2016-17,16,0.6
02/10/16,Torino,Fiorentina,2,1,H,2016-17,16,0.6
15/10/16,Juventus,Udinese,2,1,H,2016-17,16,0.6
15/10/16,Napoli,Roma,1,3,A,2016-17,16,0.6
15/10/16,Pescara,Sampdoria,1,1,D,2016-17,16,0.6
16/10/16,Chievo,Milan,1,3,A,2016-17,16,0.6
16/10/16,Fiorentina,Atalanta,0,0,D,2016-17,16,0.6
16/10/16,Genoa,Empoli,0,0,D,2016-17,16,0.6
16/10/16,Inter,Cagliari,1,2,A,2016-17,16,0.6
16/10/16,Lazio,Bologna,1,1,D,2016-17,16,0.6
16/10/16,Sassuolo,Crotone,2,1,H,2016-17,16,0.6
17/10/16,Palermo,Torino,1,4,A,2016-17,16,0.6
22/10/16,Milan,Juventus,1,0,H,2016-17,16,0.6
22/10/16,Sampdoria,Genoa,2,1,H,2016-17,16,0.6
23/10/16,Atalanta,Inter,2,1,H,2016-17,16,0.6
23/10/16,Bologna,Sassuolo,1,1,D,2016-17,16,0.6
23/10/16,Cagliari,Fiorentina,3,5,A,2016-17,16,0.6
23/10/16,Crotone,Napoli,1,2,A,2016-17,16,0.6
23/10/16,Empoli,Chievo,0,0,D,2016-17,16,0.6
23/10/16,Roma,Palermo,4,1,H,2016-17,16,0.6
23/10/16,Torino,Lazio,2,2,D,2016-17,16,0.6
23/10/16,Udinese,Pescara,3,1,H,2016-17,16,0.6
25/10/16,Genoa,Milan,3,0,H,2016-17,16,0.6
26/10/16,Chievo,Bologna,1,1,D,2016-17,16,0.6
26/10/16,Fiorentina,Crotone,1,1,D,2016-17,16,0.6
26/10/16,Inter,Torino,2,1,H,2016-17,16,0.6
26/10/16,Juventus,Sampdoria,4,1,H,2016-17,16,0.6
26/10/16,Lazio,Cagliari,4,1,H,2016-17,16,0.6
26/10/16,Napoli,Empoli,2,0,H,2016-17,16,0.6
26/10/16,Pescara,Atalanta,0,1,A,2016-17,16,0.6
26/10/16,Sassuolo,Roma,1,3,A,2016-17,16,0.6
27/10/16,Palermo,Udinese,1,3,A,2016-17,16,0.6
29/10/16,Bologna,Fiorentina,0,1,A,2016-17,16,0.6
29/10/16,Juventus,Napoli,2,1,H,2016-17,16,0.6
30/10/16,Atalanta,Genoa,3,0,H,2016-17,16,0.6
30/10/16,Crotone,Chievo,2,0,H,2016-17,16,0.6
30/10/16,Empoli,Roma,0,0,D,2016-17,16,0.6
30/10/16,Lazio,Sassuolo,2,1,H,2016-17,16,0.6
30/10/16,Milan,Pescara,1,0,H,2016-17,16,0.6
30/10/16,Sampdoria,Inter,1,0,H,2016-17,16,0.6
31/10/16,Cagliari,Palermo,2,1,H,2016-17,16,0.6
31/10/16,Udinese,Torino,2,2,D,2016-17,16,0.6
05/11/16,Napoli,Lazio,1,1,D,2016-17,16,0.6
05/11/16,Torino,Cagliari,5,1,H,2016-17,16,0.6
06/11/16,Chievo,Juventus,1,2,A,2016-17,16,0.6
06/11/16,Fiorentina,Sampdoria,1,1,D,2016-17,16,0.6
06/11/16,Genoa,Udinese,1,1,D,2016-17,16,0.6
06/11/16,Inter,Crotone,3,0,H,2016-17,16,0.6
06/11/16,Palermo,Milan,1,2,A,2016-17,16,0.6
06/11/16,Pescara,Empoli,0,4,A,2016-17,16,0.6
06/11/16,Roma,Bologna,3,0,H,2016-17,16,0.6
06/11/16,Sassuolo,Atalanta,0,3,A,2016-17,16,0.6
19/11/16,Chievo,Cagliari,1,0,H,2016-17,16,0.6
19/11/16,Juventus,Pescara,3,0,H,2016-17,16,0.6
19/11/16,Udinese,Napoli,1,2,A,2016-17,16,0.6
20/11/16,Atalanta,Roma,2,1,H,2016-17,16,0.6
20/11/16,Bologna,Palermo,3,1,H,2016-17,16,0.6
20/11/16,Crotone,Torino,0,2,A,2016-17,16,0.6
20/11/16,Empoli,Fiorentina,0,4,A,2016-17,16,0.6
20/11/16,Lazio,Genoa,3,1,H,2016-17,16,0.6
20/11/16,Milan,Inter,2,2,D,2016-17,16,0.6
20/11/16,Sampdoria,Sassuolo,3,2,H,2016-17,16,0.6
26/11/16,Empoli,Milan,1,4,A,2016-17,16,0.6
26/11/16,Torino,Chievo,2,1,H,2016-17,16,0.6
27/11/16,Bologna,Atalanta,0,2,A,2016-17,16,0.6
27/11/16,Cagliari,Udinese,2,1,H,2016-17,16,0.6
27/11/16,Crotone,Sampdoria,1,1,D,2016-17,16,0.6
27/11/16,Genoa,Juventus,3,1,H,2016-17,16,0.6
27/11/16,Palermo,Lazio,0,1,A,2016-17,16,0.6
27/11/16,Roma,Pescara,3,2,H,2016-17,16,0.6
28/11/16,Inter,Fiorentina,4,2,H,2016-17,16,0.6
28/11/16,Napoli,Sassuolo,1,1,D,2016-17,16,0.6
02/12/16,Napoli,Inter,3,0,H,2016-17,16,0.6
03/12/16,Juventus,Atalanta,3,1,H,2016-17,16,0.6
04/12/16,Fiorentina,Palermo,2,1,H,2016-17,16,0.6
04/12/16,Lazio,Roma,0,2,A,2016-17,16,0.6
04/12/16,Milan,Crotone,2,1,H,2016-17,16,0.6
04/12/16,Pescara,Cagliari,1,1,D,2016-17,16,0.6
04/12/16,Sampdoria,Torino,2,0,H,2016-17,16,0.6
04/12/16,Sassuolo,Empoli,3,0,H,2016-17,16,0.6
05/12/16,Chievo,Genoa,0,0,D,2016-17,16,0.6
05/12/16,Udinese,Bologna,1,0,H,2016-17,16,0.6
10/12/16,Crotone,Pescara,2,1,H,2016-17,16,0.6
10/12/16,Sampdoria,Lazio,1,2,A,2016-17,16,0.6
11/12/16,Atalanta,Udinese,1,3,A,2016-17,16,0.6
11/12/16,Bologna,Empoli,0,0,D,2016-17,16,0.6
11/12/16,Cagliari,Napoli,0,5,A,2016-17,16,0.6
11/12/16,Inter,Genoa,2,0,H,2016-17,16,0.6
11/12/16,Palermo,Chievo,0,2,A,2016-17,16,0.6
11/12/16,Torino,Juventus,1,3,A,2016-17,16,0.6
12/12/16,Fiorentina,Sassuolo,2,1,H,2016-17,16,0.6
12/12/16,Roma,Milan,1,0,H,2016-17,16,0.6
15/12/16,Genoa,Fiorentina,1,0,H,2016-17,16,0.6
17/12/16,Empoli,Cagliari,2,0,H,2016-17,16,0.6
17/12/16,Juventus,Roma,1,0,H,2016-17,16,0.6
17/12/16,Milan,Atalanta,0,0,D,2016-17,16,0.6
18/12/16,Chievo,Sampdoria,2,1,H,2016-17,16,0.6
18/12/16,Genoa,Palermo,3,4,A,2016-17,16,0.6
18/12/16,Lazio,Fiorentina,3,1,H,2016-17,16,0.6
18/12/16,Napoli,Torino,5,3,H,2016-17,16,0.6
18/12/16,Pescara,Bologna,0,3,A,2016-17,16,0.6
18/12/16,Sassuolo,Inter,0,1,A,2016-17,16,0.6
18/12/16,Udinese,Crotone,2,0,H,2016-17,16,0.6
20/12/16,Atalanta,Empoli,2,1,H,2016-17,16,0.6
21/12/16,Inter,Lazio,3,0,H,2016-17,16,0.6
22/12/16,Cagliari,Sassuolo,4,3,H,2016-17,16,0.6
22/12/16,Fiorentina,Napoli,3,3,D,2016-17,16,0.6
22/12/16,Palermo,Pescara,1,1,D,2016-17,16,0.6
22/12/16,Roma,Chievo,3,1,H,2016-17,16,0.6
22/12/16,Sampdoria,Udinese,0,0,D,2016-17,16,0.6
22/12/16,Torino,Genoa,1,0,H,2016-17,16,0.6
07/01/17,Empoli,Palermo,1,0,H,2016-17,16,0.6
07/01/17,Napoli,Sampdoria,2,1,H,2016-17,16,0.6
08/01/17,Chievo,Atalanta,1,4,A,2016-17,16,0.6
08/01/17,Genoa,Roma,0,1,A,2016-17,16,0.6
08/01/17,Juventus,Bologna,3,0,H,2016-17,16,0.6
08/01/17,Lazio,Crotone,1,0,H,2016-17,16,0.6
08/01/17,Milan,Cagliari,1,0,H,2016-17,16,0.6
08/01/17,Sassuolo,Torino,0,0,D,2016-17,16,0.6
08/01/17,Udinese,Inter,1,2,A,2016-17,16,0.6
14/01/17,Crotone,Bologna,0,1,A,2016-17,16,0.6
14/01/17,Inter,Chievo,3,1,H,2016-17,16,0.6
15/01/17,Cagliari,Genoa,4,1,H,2016-17,16,0.6
15/01/17,Fiorentina,Juventus,2,1,H,2016-17,16,0.6
15/01/17,Lazio,Atalanta,2,1,H,2016-17,16,0.6
15/01/17,Napoli,Pescara,3,1,H,2016-17,16,0.6
15/01/17,Sampdoria,Empoli,0,0,D,2016-17,16,0.6
15/01/17,Sassuolo,Palermo,4,1,H,2016-17,16,0.6
15/01/17,Udinese,Roma,0,1,A,2016-17,16,0.6
16/01/17,Torino,Milan,2,2,D,2016-17,16,0.6
21/01/17,Chievo,Fiorentina,0,3,A,2016-17,16,0.6
21/01/17,Milan,Napoli,1,2,A,2016-17,16,0.6
22/01/17,Atalanta,Sampdoria,1,0,H,2016-17,16,0.6
22/01/17,Bologna,Torino,2,0,H,2016-17,16,0.6
22/01/17,Empoli,Udinese,1,0,H,2016-17,16,0.6
22/01/17,Genoa,Crotone,2,2,D,2016-17,16,0.6
22/01/17,Juventus,Lazio,2,0,H,2016-17,16,0.6
22/01/17,Palermo,Inter,0,1,A,2016-17,16,0.6
22/01/17,Pescara,Sassuolo,1,3,A,2016-17,16,0.6
22/01/17,Roma,Cagliari,1,0,H,2016-17,16,0.6
28/01/17,Inter,Pescara,3,0,H,2016-17,16,0.6
28/01/17,Lazio,Chievo,0,1,A,2016-17,16,0.6
29/01/17,Cagliari,Bologna,1,1,D,2016-17,16,0.6
29/01/17,Crotone,Empoli,4,1,H,2016-17,16,0.6
29/01/17,Fiorentina,Genoa,3,3,D,2016-17,16,0.6
29/01/17,Napoli,Palermo,1,1,D,2016-17,16,0.6
29/01/17,Sampdoria,Roma,3,2,H,2016-17,16,0.6
